,magnitude,cdi,mmi,tsunami,sig,nst,dmin,gap,depth,latitude,longitude,day,evening,morning,night,Mi,mb,md,ml,ms,mw,mwb,mwc,mww,ak,at,ci,duputel,hv,nc,nn,official,pt,us,uw
0,6.5,7,4,0,657,114,7.177,25.0,192.955,-13.8814,167.158,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,6.5,8,6,0,775,92,0.679,40.0,69.727,12.814,-88.1265,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,6.6,7,5,0,899,70,1.634,28.0,171.371,-38.1911,-70.3731,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
3,7.2,6,6,1,860,173,0.907,36.0,32.571,54.3844,-160.699,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
4,7.3,0,5,1,820,79,0.879451,172.8,21.0,54.49,-160.796,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5,6.6,5,4,1,802,95,2.454,37.0,10.0,20.0196,-61.0955,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
6,6.9,4,4,1,741,136,1.179,23.0,229.0,-17.853,-174.937,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
7,7.2,8,6,1,804,85,2.59,24.0,167.404,-22.9824,-177.208,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
8,6.6,6,6,1,733,50,2.163,129.0,10.0,8.8894,-77.1231,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
9,7.1,3,4,1,777,98,2.812,56.0,35.981,-23.0622,170.456,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
10,7.7,5,4,1,927,277,3.111,15.0,18.027,-23.2286,170.694,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
11,7.6,8,6,1,907,111,3.631,17.0,210.097,-15.6002,-174.608,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
12,6.6,0,2,0,670,52,5.123,50.0,598.467,-25.2657,178.424,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
13,7.1,9,7,0,838,70,2.282,58.0,15.462,-0.781,98.5339,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
14,7.1,8,7,1,777,126,0.708,23.0,43.063,-30.0249,-177.897,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
15,6.7,0,3,1,691,166,4.719,10.0,595.854,-22.2844,179.391,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
16,7.0,5,3,0,818,131,1.881,31.0,594.028,-6.0255,112.033,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
17,6.5,7,6,1,655,104,0.266,30.0,105.631,52.7772,158.484,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
18,7.0,7,7,1,781,105,6.45,31.0,62.603,-4.2924,143.155,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
19,6.5,4,4,0,656,97,1.622,33.0,209.976,-23.4797,-66.5108,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
20,6.5,7,5,0,1350,134,2.53,13.0,187.589,36.5227,70.9787,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
21,6.8,9,7,1,1159,152,0.709,28.0,65.842,-2.851,-79.8001,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
22,7.0,8,5,1,756,116,1.789,22.0,22.065,-30.1147,-176.112,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
23,6.9,5,5,1,735,108,0.784,18.0,205.681,-29.4748,-178.787,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
24,6.5,7,6,1,653,66,5.483,45.0,10.0,-15.3597,166.385,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
25,6.5,4,2,1,652,115,2.739,20.0,598.925,-4.8138,149.487,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
26,6.8,9,7,0,737,128,1.783,20.0,20.522,38.0726,73.2077,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
27,7.5,9,9,0,1411,135,0.85,17.0,10.0,38.0235,37.203,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
28,6.7,9,8,0,800,108,0.218,44.0,14.497,37.4135,36.8306,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
29,7.8,9,9,0,2910,118,1.919,32.0,17.925,37.2012,36.9997,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
30,6.8,4,3,0,718,60,5.129,61.0,610.671,-26.7209,-63.0394,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
31,7.0,3,5,1,756,130,1.974,17.0,28.566,2.7401,127.051,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
32,7.6,5,7,0,957,114,1.575,21.0,105.249,-7.0852,130.039,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
33,7.0,8,7,1,768,116,6.096,36.0,29.0,-14.9383,166.878,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
34,6.8,5,5,1,720,152,2.587,26.0,38.0,-15.3983,-172.968,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
35,7.0,8,7,1,768,117,0.509,17.0,14.0,-9.7963,159.596,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
36,6.9,4,4,0,735,99,2.229,34.0,25.0,-4.9559,100.738,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
37,7.0,3,3,1,755,147,3.125,18.0,579.0,-20.0508,-178.346,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
38,7.3,5,5,1,833,149,1.865,21.0,37.0,-19.2918,-172.129,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
39,6.6,0,2,1,670,131,4.998,27.0,624.464,-25.5948,178.278,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
40,7.0,4,3,1,755,142,4.578,26.0,660.0,-26.0442,178.381,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
41,6.8,1,3,1,711,136,4.678,22.0,630.379,-25.9678,178.363,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
42,6.7,7,6,1,797,145,1.151,37.0,20.0,7.6712,-82.3396,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
43,6.8,8,7,1,1179,175,2.137,92.0,20.0,18.33,-102.913,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
44,7.6,9,8,1,1799,271,1.153,69.0,26.943,18.3667,-103.252,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
45,6.9,9,9,1,887,215,0.401,34.0,10.0,23.1444,121.307,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
46,6.5,7,7,1,756,178,0.43,54.0,10.0,23.029,121.348,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
47,7.0,7,5,1,761,192,2.977,45.0,137.0,-21.2077,170.239,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
