,sig,cdi,longitude,latitude,depth,gap,official,dmin,nst,mmi,magnitude
0,657,7,167.158,-13.8814,192.955,25.0,0,7.177,114,4,6.5
1,775,8,-88.1265,12.814,69.727,40.0,0,0.679,92,6,6.5
2,899,7,-70.3731,-38.1911,171.371,28.0,0,1.634,70,5,6.6
3,860,6,-160.699,54.3844,32.571,36.0,0,0.907,173,6,7.2
4,820,0,-160.796,54.49,21.0,172.8,0,0.879451,79,5,7.3
5,802,5,-61.0955,20.0196,10.0,37.0,0,2.454,95,4,6.6
6,741,4,-174.937,-17.853,229.0,23.0,0,1.179,136,4,6.9
7,804,8,-177.208,-22.9824,167.404,24.0,0,2.59,85,6,7.2
8,733,6,-77.1231,8.8894,10.0,129.0,0,2.163,50,6,6.6
9,777,3,170.456,-23.0622,35.981,56.0,0,2.812,98,4,7.1
10,927,5,170.694,-23.2286,18.027,15.0,0,3.111,277,4,7.7
11,907,8,-174.608,-15.6002,210.097,17.0,0,3.631,111,6,7.6
12,670,0,178.424,-25.2657,598.467,50.0,0,5.123,52,2,6.6
13,838,9,98.5339,-0.781,15.462,58.0,0,2.282,70,7,7.1
14,777,8,-177.897,-30.0249,43.063,23.0,0,0.708,126,7,7.1
15,691,0,179.391,-22.2844,595.854,10.0,0,4.719,166,3,6.7
16,818,5,112.033,-6.0255,594.028,31.0,0,1.881,131,3,7.0
17,655,7,158.484,52.7772,105.631,30.0,0,0.266,104,6,6.5
18,781,7,143.155,-4.2924,62.603,31.0,0,6.45,105,7,7.0
19,656,4,-66.5108,-23.4797,209.976,33.0,0,1.622,97,4,6.5
20,1350,7,70.9787,36.5227,187.589,13.0,0,2.53,134,5,6.5
21,1159,9,-79.8001,-2.851,65.842,28.0,0,0.709,152,7,6.8
22,756,8,-176.112,-30.1147,22.065,22.0,0,1.789,116,5,7.0
23,735,5,-178.787,-29.4748,205.681,18.0,0,0.784,108,5,6.9
24,653,7,166.385,-15.3597,10.0,45.0,0,5.483,66,6,6.5
25,652,4,149.487,-4.8138,598.925,20.0,0,2.739,115,2,6.5
26,737,9,73.2077,38.0726,20.522,20.0,0,1.783,128,7,6.8
27,1411,9,37.203,38.0235,10.0,17.0,0,0.85,135,9,7.5
28,800,9,36.8306,37.4135,14.497,44.0,0,0.218,108,8,6.7
29,2910,9,36.9997,37.2012,17.925,32.0,0,1.919,118,9,7.8
30,718,4,-63.0394,-26.7209,610.671,61.0,0,5.129,60,3,6.8
31,756,3,127.051,2.7401,28.566,17.0,0,1.974,130,5,7.0
32,957,5,130.039,-7.0852,105.249,21.0,0,1.575,114,7,7.6
33,768,8,166.878,-14.9383,29.0,36.0,0,6.096,116,7,7.0
34,720,5,-172.968,-15.3983,38.0,26.0,0,2.587,152,5,6.8
35,768,8,159.596,-9.7963,14.0,17.0,0,0.509,117,7,7.0
36,735,4,100.738,-4.9559,25.0,34.0,0,2.229,99,4,6.9
37,755,3,-178.346,-20.0508,579.0,18.0,0,3.125,147,3,7.0
38,833,5,-172.129,-19.2918,37.0,21.0,0,1.865,149,5,7.3
39,670,0,178.278,-25.5948,624.464,27.0,0,4.998,131,2,6.6
40,755,4,178.381,-26.0442,660.0,26.0,0,4.578,142,3,7.0
41,711,1,178.363,-25.9678,630.379,22.0,0,4.678,136,3,6.8
